complaint_id,text,category,language,urgency,detected_language,emergency_keyword_score,severity_score,text_length,affected_population,repeat_complaint_count,hour_of_day,is_weekend,is_monsoon_season,split,cleaned_text
C0001,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।,Sanitation,Hindi,Medium,Hindi,0,0.5,14,0,1,20,0,1,test,घर के पास नाली जाम है और गंदा पानी सड़क पर बह रहा है।
C0002,पार्क के पास जमा पानी में मच्छर पनप रहे हैं।,Sanitation,Hindi,Medium,Hindi,0,0.5,10,0,2,6,0,1,train,पार्क के पास जमा पानी में मच्छर पनप रहे हैं।
C0003,"सड़क पर 2 दिन से मरे हुए जानवर का शरीर पड़ा है, जिससे बीमारी का खतरा है।",Sanitation,Hindi,High,Hindi,1,0.6,17,1,1,9,0,1,train,"सड़क पर 2 दिन से मरे हुए जानवर का शरीर पड़ा है, जिससे बीमारी का खतरा है।"
C0004,चारदीवारी के पास खुले में शौच से परेशानी हो रही है।,Sanitation,Hindi,High,Hindi,0,0.5,11,0,3,6,0,1,train,चारदीवारी के पास खुले में शौच से परेशानी हो रही है।
C0005,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।",Sanitation,Hindi,Medium,Hindi,0,0.5,18,2,2,14,0,1,test,"गली से पिछले कई दिनों से कूड़ा नहीं उठाया गया है, बदबू से रहना मुश्किल हो गया है।"
C0006,फुटपाथ पर डाला गया निर्माण मलबा रास्ता रोक रहा है।,Sanitation,Hindi,Medium,Hindi,0,0.5,10,0,0,2,0,1,train,फुटपाथ पर डाला गया निर्माण मलबा रास्ता रोक रहा है।
C0007,सार्वजनिक शौचालय बहुत खराब हालत में है और सफाई की जरूरत है।,Sanitation,Hindi,Critical,Hindi,0,0.5,12,1,1,20,0,0,train,सार्वजनिक शौचालय बहुत खराब हालत में है और सफाई की जरूरत है।
C0008,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।,Sanitation,Hindi,High,Hindi,0,0.5,13,1,2,5,0,0,train,सार्वजनिक डस्टबिन कचरे से भर गए हैं और जानवर कचरा फैला रहे हैं।
C0009,सफाई कर्मचारी हमारे सेक्टर में नियमित रूप से सड़कें साफ नहीं कर रहे हैं।,Sanitation,Hindi,Medium,Hindi,0,0.5,14,2,1,2,0,0,train,सफाई कर्मचारी हमारे सेक्टर में नियमित रूप से सड़कें साफ नहीं कर रहे हैं।
C0010,सीवर लाइन चोक हो गई है और हमारे घरों में वापस बह रही है।,Sanitation,Hindi,High,Hindi,0,0.5,14,1,1,13,1,0,test,सीवर लाइन चोक हो गई है और हमारे घरों में वापस बह रही है।
C0011,The public toilet is in very bad condition and needs cleaning.,Sanitation,English,High,English,0,0.5,11,0,2,6,1,1,test,The public toilet is in very bad condition and needs cleaning.
C0012,Construction debris dumped on the sidewalk is blocking the path.,Sanitation,English,Medium,English,0,0.5,10,2,1,16,0,1,train,Construction debris dumped on the sidewalk is blocking the path.
C0013,Sweepers are not cleaning the streets regularly in our sector.,Sanitation,English,Critical,English,0,0.5,10,3,0,7,0,1,val,Sweepers are not cleaning the streets regularly in our sector.
C0014,Sewer line is choked and backflowing into our houses.,Sanitation,English,Critical,English,0,0.49,9,2,1,3,0,0,train,Sewer line is choked and backflowing into our houses.
C0015,Open defecation near the boundary wall is causing nuisance.,Sanitation,English,Medium,English,0,0.49,9,0,0,1,0,0,train,Open defecation near the boundary wall is causing nuisance.
C0016,Mosquito breeding in stagnant water near the park.,Sanitation,English,Low,English,0,0.48,8,1,2,19,0,0,val,Mosquito breeding in stagnant water near the park.
C0017,The drain near our house is blocked and dirty water is overflowing on the road.,Sanitation,English,Low,English,0,0.5,15,1,0,4,0,1,train,The drain near our house is blocked and dirty water is overflowing on the road.
C0018,"Dead animal body lying on the road for 2 days, causing health hazard.",Sanitation,English,Low,English,0,0.5,13,0,0,6,0,1,train,"Dead animal body lying on the road for 2 days, causing health hazard."
C0019,Public dustbins are overflowing and stray animals are scattering the waste.,Sanitation,English,High,English,0,0.5,11,3,2,0,0,1,val,Public dustbins are overflowing and stray animals are scattering the waste.
C0020,Garbage has not been collected from our street for a week and the smell is unbearable.,Sanitation,English,Low,English,0,0.5,16,0,0,23,0,0,train,Garbage has not been collected from our street for a week and the smell is unbearable.
C0021,Boundary wall ke paas open defecation se pareshani ho rahi hai.,Sanitation,Hinglish,Medium,English,0,0.5,11,0,0,22,0,0,train,Boundary wall ke paas open defecation se pareshani ho rahi hai.
C0022,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai.",Sanitation,Hinglish,High,Hinglish,0,0.5,16,3,3,8,1,1,train,"Gali se ek hafte se kachra nahi uthaya gaya, smell se rehna mushkil ho gaya hai."
C0023,Public toilet bahut buri halat mein hai aur safai ki zarurat hai.,Sanitation,Hinglish,Medium,English,0,0.5,12,1,1,1,0,1,test,Public toilet bahut buri halat mein hai aur safai ki zarurat hai.
C0024,Sidewalk par construction debris dump kiya gaya hai jo rasta block kar raha hai.,Sanitation,Hinglish,Medium,English,0,0.5,14,0,0,22,0,0,train,Sidewalk par construction debris dump kiya gaya hai jo rasta block kar raha hai.
C0025,Sewer line choke ho gayi hai aur hamare gharon mein backflow ho raha hai.,Sanitation,Hinglish,High,English,0,0.5,14,0,6,8,0,0,train,Sewer line choke ho gayi hai aur hamare gharon mein backflow ho raha hai.
C0026,"Road par 2 din se dead animal body padi hai, health hazard ho sakta hai.",Sanitation,Hinglish,Medium,English,0,0.5,15,1,0,20,0,0,train,"Road par 2 din se dead animal body padi hai, health hazard ho sakta hai."
C0027,Park ke paas stagnant water mein machhar paida ho rahe hain.,Sanitation,Hinglish,Low,English,0,0.5,11,0,0,16,0,1,val,Park ke paas stagnant water mein machhar paida ho rahe hain.
C0028,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain.",Sanitation,Hinglish,Medium,English,0,0.5,13,0,0,3,0,1,train,"Public dustbin overflow ho rahe hain, stray dogs kachra idhar-udhar phaila rahe hain."
C0029,Sweepers hamare sector mein regularly sadak saaf nahi kar rahe hain.,Sanitation,Hinglish,High,English,0,0.5,11,1,1,3,0,1,train,Sweepers hamare sector mein regularly sadak saaf nahi kar rahe hain.
C0030,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai.",Sanitation,Hinglish,Low,Hinglish,0,0.5,12,1,1,16,1,0,train,"Nali bilkul jam hai, ganda pani road pe overflow ho raha hai."
C0031,सीवर का पानी पीने के पानी की सप्लाई लाइनों के साथ मिल रहा है।,Water Supply,Hindi,Medium,Hindi,0,0.5,14,1,0,5,0,0,test,सीवर का पानी पीने के पानी की सप्लाई लाइनों के साथ मिल रहा है।
C0032,2 दिन पहले बुकिंग करने के बावजूद कोई पानी का टैंकर नहीं आया है।,Water Supply,Hindi,Critical,Hindi,0,0.5,14,1,1,15,0,0,test,2 दिन पहले बुकिंग करने के बावजूद कोई पानी का टैंकर नहीं आया है।
C0033,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।",Water Supply,Hindi,High,Hindi,0,0.5,12,2,1,3,1,1,train,"पानी का प्रेशर बहुत कम है, टंकी बिल्कुल नहीं भर रही है।"
C0034,"कृपया पानी का मीटर ठीक करें, यह गलत रीडिंग दिखा रहा है।",Water Supply,Hindi,Critical,Hindi,0,0.5,12,1,3,2,1,0,test,"कृपया पानी का मीटर ठीक करें, यह गलत रीडिंग दिखा रहा है।"
C0035,हमारी गली का सार्वजनिक नल टूटा हुआ है और लगातार बह रहा है।,Water Supply,Hindi,High,Hindi,0,0.5,13,2,4,8,0,0,train,हमारी गली का सार्वजनिक नल टूटा हुआ है और लगातार बह रहा है।
C0036,आज सप्लाई किया गया पीने का पानी गंदा है और उसमें बदबू आ रही है।,Water Supply,Hindi,Medium,Hindi,0,0.5,15,3,0,8,0,0,train,आज सप्लाई किया गया पीने का पानी गंदा है और उसमें बदबू आ रही है।
C0037,"हमें केवल 10 मिनट के लिए पानी मिल रहा है, जो पर्याप्त नहीं है।",Water Supply,Hindi,Low,Hindi,0,0.5,14,0,0,1,1,0,train,"हमें केवल 10 मिनट के लिए पानी मिल रहा है, जो पर्याप्त नहीं है।"
C0038,"हमारी कॉलोनी का मुख्य वाल्व टूटा हुआ है, सड़कों पर पानी बह रहा है।",Water Supply,Hindi,Medium,Hindi,0,0.5,14,1,2,13,1,0,train,"हमारी कॉलोनी का मुख्य वाल्व टूटा हुआ है, सड़कों पर पानी बह रहा है।"
C0039,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।",Water Supply,Hindi,High,Hindi,0,0.5,17,2,0,1,0,0,train,"घर के पास पानी की पाइपलाइन से लीकेज हो रही है, बहुत पानी बर्बाद हो रहा है।"
C0040,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Medium,Hindi,0,0.5,16,1,0,10,0,0,val,"हमारे इलाके में पिछले 3 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0041,"हमारे इलाके में पिछले 2 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Low,Hindi,0,0.5,16,1,0,23,0,1,test,"हमारे इलाके में पिछले 2 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0042,"हमारे इलाके में पिछले 1 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Medium,Hindi,0,0.5,16,0,3,12,0,0,train,"हमारे इलाके में पिछले 1 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0043,"हमारे इलाके में पिछले 4 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,Low,Hindi,0,0.5,16,1,0,22,1,1,test,"हमारे इलाके में पिछले 4 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0044,"हमारे इलाके में पिछले 5 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।",Water Supply,Hindi,High,Hindi,0,0.5,16,2,4,5,0,1,train,"हमारे इलाके में पिछले 5 दिनों से पानी की सप्लाई बंद है, लोग बहुत परेशान हैं।"
C0045,Water pressure is very low in our building and tanks are not filling properly.,Water Supply,English,High,English,0,0.5,14,0,2,5,0,1,test,Water pressure is very low in our building and tanks are not filling properly.
C0046,"We are receiving water only for 10 minutes, which is not enough.",Water Supply,English,Medium,English,0,0.5,12,1,0,18,0,0,val,"We are receiving water only for 10 minutes, which is not enough."
C0047,"Our colony main valve is broken, water is flowing on the streets.",Water Supply,English,High,English,0,0.5,12,1,0,11,0,1,train,"Our colony main valve is broken, water is flowing on the streets."
C0048,No water tanker has arrived despite booking 2 days ago.,Water Supply,English,High,English,1,0.6,10,3,2,23,1,0,val,No water tanker has arrived despite booking 2 days ago.
C0049,Water pipeline leakage near our house is wasting a lot of clean water.,Water Supply,English,Low,English,0,0.5,13,2,1,3,1,0,train,Water pipeline leakage near our house is wasting a lot of clean water.
C0050,"There has been no water supply in our area for the past 3 days, residents are suffering.",Water Supply,English,Medium,English,1,0.6,17,0,1,20,0,1,train,"There has been no water supply in our area for the past 3 days, residents are suffering."
C0051,Sewer water is mixing with drinking water supply lines.,Water Supply,English,Critical,English,0,0.49,9,3,1,23,0,0,train,Sewer water is mixing with drinking water supply lines.
C0052,The drinking water supplied today is dirty and smells bad.,Water Supply,English,High,English,0,0.5,10,3,1,21,1,0,train,The drinking water supplied today is dirty and smells bad.
C0053,"There has been no water supply in our area for the past 2 days, residents are suffering.",Water Supply,English,Medium,English,1,0.6,17,1,4,19,0,1,train,"There has been no water supply in our area for the past 2 days, residents are suffering."
C0054,The public tap in our lane is broken and leaking continuously.,Water Supply,English,High,English,0,0.5,11,1,2,11,0,1,val,The public tap in our lane is broken and leaking continuously.
C0055,"Please fix the water meter, it is showing wrong readings.",Water Supply,English,Medium,English,0,0.5,10,0,2,17,1,1,train,"Please fix the water meter, it is showing wrong readings."
C0056,"There has been no water supply in our area for the past 1 days, residents are suffering.",Water Supply,English,Low,English,1,0.6,17,0,0,5,0,0,train,"There has been no water supply in our area for the past 1 days, residents are suffering."
C0057,"There has been no water supply in our area for the past 4 days, residents are suffering.",Water Supply,English,Low,English,1,0.6,17,0,0,5,0,0,train,"There has been no water supply in our area for the past 4 days, residents are suffering."
C0058,"There has been no water supply in our area for the past 5 days, residents are suffering.",Water Supply,English,Medium,English,1,0.6,17,0,1,8,0,0,train,"There has been no water supply in our area for the past 5 days, residents are suffering."
C0059,"Hamari colony ka main valve tooth gaya hai, road par pani beh raha hai.",Water Supply,Hinglish,Medium,Hinglish,0,0.5,14,1,1,12,1,0,train,"Hamari colony ka main valve tooth gaya hai, road par pani beh raha hai."
C0060,"Building me pani ka pressure bahut low hai, tank bhar hi nahi raha.",Water Supply,Hinglish,Medium,English,0,0.5,13,1,1,18,0,1,train,"Building me pani ka pressure bahut low hai, tank bhar hi nahi raha."
C0061,2 din pehle book karne ke bawajood koi water tanker nahi aaya hai.,Water Supply,Hinglish,Medium,English,0,0.5,13,1,0,3,1,1,train,2 din pehle book karne ke bawajood koi water tanker nahi aaya hai.
C0062,Aaj jo peene ka pani aaya hai wo ganda hai aur smell kar raha hai.,Water Supply,Hinglish,Critical,Hinglish,0,0.5,15,0,0,12,0,0,train,Aaj jo peene ka pani aaya hai wo ganda hai aur smell kar raha hai.
C0063,"Please water meter fix karein, ye galat reading dikha raha hai.",Water Supply,Hinglish,High,English,0,0.5,11,0,2,2,1,1,val,"Please water meter fix karein, ye galat reading dikha raha hai."
C0064,"Humein sirf 10 minute ke liye pani mil raha hai, jo kaafi nahi hai.",Water Supply,Hinglish,Medium,English,0,0.5,14,1,1,16,0,1,train,"Humein sirf 10 minute ke liye pani mil raha hai, jo kaafi nahi hai."
C0065,"Hamare area me 5 din se pani nahi aa raha, log bahut pareshaan hain.",Water Supply,Hinglish,High,English,0,0.5,14,1,3,10,0,0,train,"Hamare area me 5 din se pani nahi aa raha, log bahut pareshaan hain."
C0066,"Ghar ke paas wali pipeline me leakage hai, bahut saara pani waste ho raha hai.",Water Supply,Hinglish,High,Hinglish,0,0.5,15,1,2,14,0,1,train,"Ghar ke paas wali pipeline me leakage hai, bahut saara pani waste ho raha hai."
