complaint_id,text,category,language,scope_id
C001,"The main city water pipeline has burst, causing massive flooding on the highway.",Water Supply,English,3
C002,"शहर की मुख्य पानी की पाइपलाइन फट गई है, जिससे हाईवे पर भारी जलभराव हो गया है।",Water Supply,Hindi,3
C003,"Shehar ki main water pipeline phat gayi hai, jis se highway par heavy flooding ho rahi hai.",Water Supply,Hinglish,3
C004,"There is a dead animal lying in the middle of our street lane, causing a terrible smell.",Sanitation,English,1
C005,"हमारी गली के बीच में एक मृत जानवर पड़ा है, जिससे बहुत भयानक बदबू आ रही है।",Sanitation,Hindi,1
C006,"Humari gali ke beech mein ek dead animal pada hai, bahut gandi smell aa rahi hai.",Sanitation,Hinglish,1
C007,"All the streetlights in Sector 12 have been flickering and failing for two nights.",Transportation,English,2
C008,"सेक्टर 12 की सभी स्ट्रीट लाइटें दो रातों से टिमटिमा रही हैं और खराब हो गई हैं।",Transportation,Hindi,2
C009,"Sector 12 ki saari streetlights do raato se flicker kar rahi hain aur kharab ho gayi hain.",Transportation,Hinglish,2
C010,"My personal kitchen sink pipe is leaking and needs immediate repair.",Water Supply,English,0
C011,"मेरे घर के किचन सिंक का पाइप लीक हो रहा है और इसे तुरंत ठीक करने की जरूरत है।",Water Supply,Hindi,0
C012,"Mere ghar ke kitchen sink ka pipe leak ho raha hai aur ise turant repair karna padega.",Water Supply,Hinglish,0
C013,"The garbage collection truck has not visited our colony for the entire week.",Sanitation,English,2
C014,"कचरा उठाने वाली गाड़ी पूरे हफ्ते से हमारी कॉलोनी में नहीं आई है।",Sanitation,Hindi,2
C015,"Kachra uthane wali gaadi poore hafte se humari colony mein nahi aayi hai.",Sanitation,Hinglish,2
C016,"A huge pothole has formed at the main entrance of the city hospital road.",Transportation,English,3
C017,"सिटी अस्पताल रोड के मुख्य प्रवेश द्वार पर एक बड़ा गड्ढा बन गया है।",Transportation,Hindi,3
C018,"City hospital road ke main entrance par ek bada gadda ban gaya hai.",Transportation,Hinglish,3
C019,"The public tap at the corner of Lane 4 is broken and wasting water.",Water Supply,English,1
C020,"गली नंबर 4 के कोने पर लगा सार्वजनिक नल टूट गया है और पानी बर्बाद हो रहा है।",Water Supply,Hindi,1
C021,"Lane 4 ke corner wala public tap toot gaya hai aur paani waste ho raha hai.",Water Supply,Hinglish,1
C022,"The open manhole near the neighborhood park is very dangerous for children.",Sanitation,English,2
C023,"मोहल्ले के पार्क के पास खुला मैनहोल बच्चों के लिए बहुत खतरनाक है।",Sanitation,Hindi,2
C024,"Neighborhood park ke paas khula manhole bachon ke liye bahut dangerous hai.",Sanitation,Hinglish,2
C025,"The traffic signals at the busy Crossroad Junction are not working at all.",Transportation,English,3
C026,"व्यस्त क्रॉसरोड जंक्शन पर ट्रैफिक सिग्नल बिल्कुल काम नहीं कर रहे हैं।",Transportation,Hindi,3
C027,"Busy Crossroad Junction par traffic signals bilkul kaam nahi kar rahe hain.",Transportation,Hinglish,3
C028,"Sewage water is overflowing and entering the houses in our small lane.",Sanitation,English,1
C029,"हमारी छोटी गली के घरों में सीवर का पानी भर रहा है और ओवरफ्लो हो रहा है।",Sanitation,Hindi,1
C030,"Humari choti gali ke gharon mein sewage ka pani bhar raha hai aur overflow ho raha hai.",Sanitation,Hinglish,1
C031,"I am receiving contaminated and muddy water through my home tap today.",Water Supply,English,0
C032,"आज मुझे अपने घर के नल से दूषित और मटमैला पानी मिल रहा है।",Water Supply,Hindi,0
C033,"Aaj mujhe apne ghar ke tap se ganda aur mitti wala pani mil raha hai.",Water Supply,Hinglish,0
C034,"Illegal parking in our colony is blocking the emergency exit for ambulances.",Transportation,English,2
C035,"हमारी कॉलोनी में अवैध पार्किंग एम्बुलेंस के आपातकालीन निकास को रोक रही है।",Transportation,Hindi,2
